FIPS Code,State,do_not_use,County,RUCA code,Tract Pop,Area sq mi,Pop Density
53055,WA,San,San Juan,10,2753,48.08438842,57.25350972
53055,WA,San,San Juan,10,0,0,
53057,WA,Skagit,Skagit,4,2181,1.25587995,1736.630957
53057,WA,Skagit,Skagit,4,4880,18.89994124,258.201861
53057,WA,Skagit,Skagit,4,6839,4.53977586,1506.462039
53057,WA,Skagit,Skagit,4,2467,0.552244644,4467.223048
53057,WA,Skagit,Skagit,4,1530,1.008351004,1517.328781
53057,WA,Skagit,Skagit,4,1562,0.559810702,2790.228902
53057,WA,Skagit,Skagit,2,3010,11.90661849,252.800575
53057,WA,Skagit,Skagit,5,873,22.7909554,38.30466887
53057,WA,Skagit,Skagit,2,6015,73.46903036,81.8712316
53057,WA,Skagit,Skagit,2,4071,62.50898383,65.12663862
53057,WA,Skagit,Skagit,2,2821,142.351829,19.81709697
53057,WA,Skagit,Skagit,10,4715,903.68308,5.217537104
53057,WA,Skagit,Skagit,1,2989,293.2249126,10.19354042
53057,WA,Skagit,Skagit,1,1853,23.70144302,78.18089382
53057,WA,Skagit,Skagit,1,4029,3.798274741,1060.744753
53057,WA,Skagit,Skagit,1,9326,8.948253814,1042.214514
53057,WA,Skagit,Skagit,1,4352,12.97824083,335.3305011
53057,WA,Skagit,Skagit,1,3689,1.216842704,3031.616157
53057,WA,Skagit,Skagit,1,4418,3.945447238,1119.771659
53057,WA,Skagit,Skagit,1,3519,22.54058667,156.1183855
53057,WA,Skagit,Skagit,2,3310,32.79630137,100.9260149
53057,WA,Skagit,Skagit,1,4144,2.729647782,1518.144585
53057,WA,Skagit,Skagit,1,4562,0.99819227,4570.261801
53057,WA,Skagit,Skagit,1,8722,5.285827965,1650.07262
53057,WA,Skagit,Skagit,1,2831,0.699581234,4046.706607
53057,WA,Skagit,Skagit,1,7408,4.537058859,1632.77582
53057,WA,Skagit,Skagit,1,3290,0.696294732,4725.010616
53057,WA,Skagit,Skagit,1,3821,6.567016527,581.8471728
53057,WA,Skagit,Skagit,2,3674,63.01255952,58.30583662
53057,WA,Skagit,Skagit,4,0,0,
53059,WA,Skamania,Skamania,10,98,1376.180753,0.071211576
53059,WA,Skamania,Skamania,2,4264,128.8636573,33.08923625
53059,WA,Skamania,Skamania,2,2010,30.09115332,66.79704094
53059,WA,Skamania,Skamania,10,2234,84.75978113,26.35684012
53059,WA,Skamania,Skamania,2,2460,35.78161057,68.7503989
53061,WA,Snohomish,Snohomish,1,5382,1.852590051,2905.121939
53061,WA,Snohomish,Snohomish,1,5925,0.988374077,5994.693847
53061,WA,Snohomish,Snohomish,1,2937,0.405122726,7249.655002
53061,WA,Snohomish,Snohomish,1,3867,0.657591078,5880.55424
53061,WA,Snohomish,Snohomish,1,2402,0.699650732,3433.141552
53061,WA,Snohomish,Snohomish,1,4726,1.082072195,4367.54592
53061,WA,Snohomish,Snohomish,1,2418,0.555867826,4349.954945
53061,WA,Snohomish,Snohomish,1,2810,1.278217891,2198.373234
53061,WA,Snohomish,Snohomish,1,5380,1.18612094,4535.793797
53061,WA,Snohomish,Snohomish,1,4570,1.050037684,4352.224755
53061,WA,Snohomish,Snohomish,1,3439,0.573678334,5994.648566
53061,WA,Snohomish,Snohomish,1,5791,1.019876154,5678.140408
53061,WA,Snohomish,Snohomish,1,5117,1.821764811,2808.81482
53061,WA,Snohomish,Snohomish,1,4502,1.46745622,3067.89391
53061,WA,Snohomish,Snohomish,1,2870,3.935869201,729.1908988
53061,WA,Snohomish,Snohomish,1,5534,1.27072249,4355.002799
53061,WA,Snohomish,Snohomish,1,1396,2.105452226,663.0404541
53061,WA,Snohomish,Snohomish,1,5498,1.807186365,3042.298296
53061,WA,Snohomish,Snohomish,1,5826,0.950662706,6128.356529
53061,WA,Snohomish,Snohomish,1,5287,0.975267067,5421.079189
53061,WA,Snohomish,Snohomish,1,3657,1.125741895,3248.524387
53061,WA,Snohomish,Snohomish,1,6264,1.455277399,4304.334008
53061,WA,Snohomish,Snohomish,1,4359,1.123838412,3878.671484
53061,WA,Snohomish,Snohomish,1,5039,1.428368008,3527.80234
53061,WA,Snohomish,Snohomish,1,5024,1.561767468,3216.868134
53061,WA,Snohomish,Snohomish,1,5573,1.28597314,4333.683052
53061,WA,Snohomish,Snohomish,1,7971,1.11724147,7134.536459
53061,WA,Snohomish,Snohomish,1,4114,0.653543182,6294.916863
53061,WA,Snohomish,Snohomish,1,5007,0.416703861,12015.72739
53061,WA,Snohomish,Snohomish,1,5035,0.344917428,14597.69669
53061,WA,Snohomish,Snohomish,1,6403,1.263759137,5066.630034
53061,WA,Snohomish,Snohomish,1,5550,0.72179292,7689.185984
53061,WA,Snohomish,Snohomish,1,4073,3.415916599,1192.359322
53061,WA,Snohomish,Snohomish,1,6981,1.316972125,5300.795566
53061,WA,Snohomish,Snohomish,1,5600,0.552087886,10143.31258
53061,WA,Snohomish,Snohomish,1,5174,0.859851088,6017.320989
53061,WA,Snohomish,Snohomish,1,5921,1.898330417,3119.056592
53061,WA,Snohomish,Snohomish,1,3336,1.065312658,3131.475042
53061,WA,Snohomish,Snohomish,1,4166,0.91993322,4528.589587
53061,WA,Snohomish,Snohomish,1,5177,2.474704902,2091.9666
53061,WA,Snohomish,Snohomish,1,4544,1.031407481,4405.63025
